data_year,suspect_using_id,offense_id
2021,4,172858525
2021,4,172858699
2021,4,172858526
2021,4,172858527
2021,4,172858528
2021,4,172859382
2021,4,172859383
2021,4,172858530
2021,2,172859384
2021,4,172859385
2021,4,172858531
2021,4,172858532
2021,4,172858533
2021,4,172861396
2021,4,172858534
2021,4,172861398
2021,4,172858535
2021,4,172858874
2021,4,172858876
2021,4,172859386
2021,4,172858877
2021,4,172858878
2021,4,172858879
2021,4,172858880
2021,4,172858883
2021,4,172858884
2021,4,172858885
2021,4,172858886
2021,4,172859470
2021,4,172859471
2021,4,172858887
2021,4,172858888
2021,4,172858889
2021,4,172858890
2021,4,172861401
2021,4,172858892
2021,4,172861403
2021,4,172859473
2021,4,172870191
2021,4,172859474
2021,4,172859475
2021,4,172859476
2021,4,172870313
2021,4,172859477
2021,4,172859478
2021,4,172863723
2021,4,172863724
2021,4,172863725
2021,4,172859479
2021,4,172859480
2021,4,172859481
2021,4,172859482
2021,4,172861405
2021,4,172859486
2021,4,172859632
2021,4,172859633
2021,4,172859636
2021,4,172859637
2021,4,172859638
2021,4,172859640
2021,4,172859642
2021,4,172859643
2021,4,172859644
2021,4,172859646
2021,4,172859647
2021,4,172861429
2021,4,172859648
2021,4,172859649
2021,4,172859650
2021,4,172863726
2021,4,172859652
2021,4,172863729
2021,4,172863730
2021,4,172870314
2021,4,172870315
2021,4,172870316
2021,4,172859656
2021,4,172867865
2021,4,172863731
2021,4,172863732
2021,4,172863733
2021,4,172863734
2021,4,172863740
2021,4,172863743
2021,4,172863744
2021,4,172863747
2021,4,172863750
2021,4,172863752
2021,4,172863753
2021,4,172863754
2021,4,172862241
2021,4,172862249
2021,4,172862503
2021,4,172862784
2021,4,177653678
2021,4,172862787
2021,4,172862980
2021,4,172862982
2021,4,172862983
2021,4,172863183
2021,4,172863184
2021,4,172863190
2021,4,172863495
2021,4,172863498
2021,4,172863500
2021,4,172865803
2021,4,172863774
2021,4,172864198
2021,4,172864199
2021,2,172864201
2021,4,172864206
2021,4,172867799
2021,4,172867800
2021,4,172864211
2021,4,172864220
2021,2,172864224
2021,4,172864226
2021,4,172864229
2021,4,172864233
2021,4,172864237
2021,4,172864242
2021,4,177653679
2021,4,172864249
2021,4,172864259
2021,4,172864262
2021,4,180243792
2021,4,172864578
2021,2,172864580
